CodPessoa,theta,enem_score,acertos,total_itens
8492138,3.232,823,35,45
8492663,-0.537,446,25,45
8494321,-1.222,378,12,45
8498313,0.412,541,34,45
8498711,-1.472,353,11,45
8500587,-0.132,487,23,45
8506229,-0.534,447,16,45
8506349,-0.182,482,27,45
8515597,-0.874,413,12,45
8660904,-0.145,486,25,45
8660944,4.0,900,36,45
8661494,0.355,535,26,45
8661503,3.181,818,32,45
8661510,0.636,564,23,45
8662707,-1.183,382,8,45
8662721,-0.873,413,9,45
8662730,-0.881,412,11,45
8662734,-1.264,374,11,45
8662735,-1.469,353,8,45
8662738,-1.69,331,11,45
8662749,-0.2,480,13,45
8662759,-1.49,351,11,45
8662979,-0.604,440,23,45
8662984,4.0,900,41,45
8663006,4.0,900,38,45
8663008,4.0,900,41,45
8663013,0.294,529,25,45
8663036,0.575,557,35,45
8663194,-0.177,482,8,45
8663708,-0.754,425,15,45
8663711,-0.859,414,16,45
8663716,-0.18,482,16,45
8663730,0.356,536,20,45
8663742,-0.844,416,12,45
8663744,-0.556,444,17,45
8663749,-0.352,465,13,45
8663750,-0.213,479,16,45
8663752,-0.672,433,13,45
8663764,-1.352,365,11,45
8663768,-0.327,467,15,45
8663773,-0.757,424,14,45
8663774,-0.038,496,25,45
8663917,0.412,541,32,45
8664120,-1.021,398,14,45
8664268,-0.39,461,17,45
8664274,-0.612,439,16,45
8664275,-0.732,427,11,45
8664302,-0.708,429,17,45
8664309,0.189,519,22,45
8664311,-0.795,420,14,45
8664662,-0.421,458,13,45
8665412,2.461,746,28,45
8665450,0.506,551,23,45
8665479,0.573,557,31,45
8665483,0.485,548,28,45
8665485,0.749,575,29,45
8665634,-1.371,363,10,45
8665639,-2.095,291,8,45
8665665,-1.302,370,14,45
8665667,-4.0,100,0,45
8665669,0.5,550,33,45
8665673,-4.0,100,0,45
8665678,-4.0,100,0,45
8665681,-4.0,100,0,45
8665682,-4.0,100,0,45
8665687,-4.0,100,6,45
8665693,-4.0,100,0,45
8666674,2.86,786,33,45
8666720,0.472,547,32,45
8666733,0.564,556,31,45
8666796,-3.006,199,7,45
8666847,-1.274,373,14,45
8666945,-0.745,426,12,45
8667338,-2.049,295,6,45
8667359,-0.143,486,20,45
8667379,-1.033,397,12,45
8667395,-4.0,100,0,45
8667661,-2.651,235,10,45
8667751,-0.041,496,15,45
8667905,-0.046,495,18,45
8667966,-0.111,489,20,45
8667968,-0.425,458,12,45
8668084,-0.027,497,18,45
8668485,-0.341,466,14,45
8668487,-0.697,430,14,45
8668495,-0.203,480,15,45
8668498,-0.673,433,14,45
8668506,-1.259,374,15,45
8668520,-0.09,491,20,45
8668587,-0.907,409,11,45
8668702,-1.836,316,10,45
8668711,-0.932,407,11,45
8669069,0.263,526,31,45
8669087,-4.0,100,3,45
8669158,3.247,825,37,45
8669250,-0.995,400,8,45
8669618,0.39,539,29,45
8669620,3.146,815,31,45
8669626,0.562,556,36,45
8669629,-2.446,255,10,45
8669660,4.0,900,40,45
8669663,2.97,797,38,45
8669667,3.189,819,34,45
8669673,-1.157,384,15,45
8670022,-0.219,478,22,45
8670181,-0.947,405,13,45
8670210,0.118,512,13,45
8670226,-1.206,379,15,45
8670319,-4.0,100,4,45
8670327,-0.017,498,27,45
8670516,0.015,502,17,45
8670531,-0.36,464,14,45
8670567,-1.053,395,18,45
8670574,-4.0,100,0,45
8670708,-4.0,100,0,45
8670742,-0.936,406,11,45
8670876,-0.384,462,12,45
8671522,-0.785,421,11,45
8671528,0.467,547,24,45
8671591,-0.08,492,20,45
8671619,4.0,900,41,45
8671681,-1.077,392,9,45
8671683,0.151,515,27,45
8671692,-0.068,493,18,45
8671694,-1.224,378,13,45
8671710,-0.203,480,16,45
8671711,-0.066,493,25,45
8671726,-0.28,472,19,45
8671727,0.209,521,25,45
8671732,-0.816,418,14,45
8671734,0.01,501,19,45
8671735,-0.801,420,12,45
8671737,0.024,502,27,45
8671748,-0.035,497,19,45
8671752,0.077,508,17,45
8671756,0.057,506,19,45
8671758,-0.123,488,22,45
8671777,-1.576,342,11,45
8671778,-0.951,405,16,45
8671784,0.067,507,17,45
8671786,-0.998,400,15,45
8671796,-0.464,454,23,45
8671804,0.213,521,22,45
8671820,-0.966,403,8,45
8671844,0.274,527,21,45
8671851,-4.0,100,0,45
8671856,-0.707,429,16,45
8671859,-0.607,439,13,45
8672052,-0.998,400,18,45
8672076,-0.376,462,12,45
8672109,0.567,557,23,45
8672110,-0.79,421,13,45
8672113,1.048,605,33,45
8672125,-0.295,470,22,45
8672193,3.717,872,39,45
8672197,-1.405,359,6,45
8672204,-0.639,436,21,45
8672205,4.0,900,33,45
8672208,3.717,872,39,45
8672264,-0.03,497,28,45
8672266,0.413,541,32,45
8672313,0.396,540,30,45
8672404,-1.449,355,12,45
8672413,-0.296,470,13,45
8672414,0.396,540,30,45
8672476,3.353,835,35,45
8672538,0.193,519,29,45
8672748,-4.0,100,0,45
8672753,-1.603,340,9,45
8672813,0.396,540,30,45
8673296,3.056,806,32,45
8673329,-0.337,466,18,45
8673333,4.0,900,39,45
8673343,4.0,900,39,45
8673360,0.273,527,29,45
8673373,2.672,767,36,45
8673877,-1.183,382,16,45
8674518,-1.175,382,11,45
8674618,-4.0,100,0,45
8674789,1.204,620,34,45
8674850,0.039,504,29,45
8674865,0.018,502,31,45
8674926,4.0,900,39,45
8675026,-0.619,438,14,45
8675201,-1.131,387,12,45
8675214,-0.587,441,15,45
8675323,-0.702,430,12,45
8675573,-0.016,498,19,45
8675669,-0.33,467,17,45
8675752,-0.387,461,21,45
8675884,3.863,886,39,45
8675941,3.931,893,40,45
8676066,-0.194,481,14,45
8676079,0.113,511,29,45
8676156,0.412,541,34,45
8676169,-0.567,443,16,45
8676175,0.412,541,34,45
8676180,0.445,544,24,45
8676189,0.141,514,32,45
8676192,-0.751,425,19,45
8676199,0.69,569,35,45
8676244,-1.218,378,13,45
8676253,0.065,506,23,45
8676255,3.73,873,35,45
8676257,4.0,900,36,45
8676262,4.0,900,40,45
8676273,4.0,900,41,45
8676297,4.0,900,39,45
8676305,2.849,785,28,45
8676407,4.0,900,38,45
8676409,-0.164,484,23,45
8676415,4.0,900,40,45
8676416,0.412,541,34,45
8676448,4.0,900,40,45
8676450,4.0,900,41,45
8676452,0.451,545,31,45
8676453,0.412,541,34,45
8676456,0.39,539,32,45
8676459,0.231,523,29,45
8676464,0.391,539,29,45
8676486,-0.19,481,17,45
