CodPessoa,theta,enem_score,acertos,total_itens
8492138,0.646,565,36,45
8492663,0.266,527,31,45
8494321,-0.836,416,16,45
8498313,0.737,574,37,45
8498711,-1.223,378,13,45
8500587,-0.336,466,22,45
8506229,-0.483,452,20,45
8506349,0.131,513,29,45
8515597,-1.411,359,12,45
8660904,-0.562,444,19,45
8660944,0.336,534,32,45
8661494,0.198,520,30,45
8661503,0.646,565,36,45
8661510,0.408,541,33,45
8662707,-1.073,393,14,45
8662721,-0.483,452,20,45
8662730,-1.073,393,14,45
8662734,-1.667,333,11,45
8662735,-0.836,416,16,45
8662738,-1.411,359,12,45
8662749,-2.091,291,10,45
8662759,-1.411,359,12,45
8662979,-4.0,100,0,45
8662984,0.947,595,39,45
8663006,0.562,556,35,45
8663008,0.947,595,39,45
8663013,-0.562,444,19,45
8663036,0.336,534,32,45
8663194,-0.947,405,15,45
8663708,-4.0,100,7,45
8663711,-0.198,480,24,45
8663716,-0.336,466,22,45
8663730,-0.562,444,19,45
8663742,-0.646,435,18,45
8663744,-0.646,435,18,45
8663749,-0.408,459,21,45
8663750,-0.562,444,19,45
8663752,-0.065,493,26,45
8663764,-1.073,393,14,45
8663768,0.0,500,27,45
8663773,-0.483,452,20,45
8663774,-0.065,493,26,45
8663917,0.266,527,31,45
8664120,-1.223,378,13,45
8664268,-0.947,405,15,45
8664274,-0.266,473,23,45
8664275,-0.947,405,15,45
8664302,-1.411,359,12,45
8664309,-0.131,487,25,45
8664311,-0.562,444,19,45
8664662,-0.947,405,15,45
8665412,0.266,527,31,45
8665450,-0.131,487,25,45
8665479,-0.562,444,19,45
8665483,-0.131,487,25,45
8665485,0.131,513,29,45
8665634,-1.073,393,14,45
8665639,-0.947,405,15,45
8665665,-1.073,393,14,45
8665669,0.646,565,36,45
8665687,-1.073,393,14,45
8666674,0.336,534,32,45
8666720,-0.065,493,26,45
8666733,0.336,534,32,45
8666796,-2.091,291,10,45
8666847,-0.646,435,18,45
8666945,-0.562,444,19,45
8667338,-1.223,378,13,45
8667359,-1.411,359,12,45
8667379,-0.947,405,15,45
8667661,-1.667,333,11,45
8667751,-1.223,378,13,45
8667905,-0.646,435,18,45
8667966,-1.073,393,14,45
8667968,-0.646,435,18,45
8668084,-0.646,435,18,45
8668485,-1.667,333,11,45
8668487,-1.223,378,13,45
8668495,-0.737,426,17,45
8668498,-0.483,452,20,45
8668506,-4.0,100,9,45
8668520,-0.065,493,26,45
8668587,-1.667,333,11,45
8668702,-1.223,378,13,45
8668711,-0.836,416,16,45
8669069,0.336,534,32,45
8669087,0.065,507,28,45
8669158,0.408,541,33,45
8669250,-0.947,405,15,45
8669618,-0.336,466,22,45
8669620,0.737,574,37,45
8669626,-0.131,487,25,45
8669629,-4.0,100,8,45
8669660,0.947,595,39,45
8669663,0.562,556,35,45
8669667,0.483,548,34,45
8669673,-0.408,459,21,45
8670022,-0.408,459,21,45
8670181,-1.411,359,12,45
8670210,-0.836,416,16,45
8670226,-0.131,487,25,45
8670319,-2.091,291,10,45
8670327,-1.411,359,12,45
8670516,-0.947,405,15,45
8670531,-0.646,435,18,45
8670567,0.0,500,27,45
8670708,-0.131,487,25,45
8670742,-1.223,378,13,45
8670876,-1.073,393,14,45
8671522,-1.667,333,11,45
8671528,-0.562,444,19,45
8671591,-0.562,444,19,45
8671619,0.836,584,38,45
8671681,-0.836,416,16,45
8671683,-0.131,487,25,45
8671692,-0.646,435,18,45
8671694,-1.411,359,12,45
8671710,-4.0,100,8,45
8671711,-0.065,493,26,45
8671726,-0.065,493,26,45
8671727,-0.836,416,16,45
