CodPessoa,theta,enem_score,acertos,total_itens
8492138,0.674,567,36,45
8492663,0.562,556,31,45
8494321,-0.976,402,16,45
8498313,0.859,586,37,45
8498711,-1.048,395,13,45
8500587,-0.204,480,22,45
8506229,-0.413,459,20,45
8506349,0.27,527,29,45
8515597,-2.081,292,12,45
8660904,-0.573,443,19,45
8660944,0.38,538,32,45
8661494,0.509,551,30,45
8661503,0.792,579,36,45
8661510,0.639,564,33,45
8662707,-1.323,368,14,45
8662721,-0.323,468,20,45
8662730,-1.128,387,14,45
8662734,-1.603,340,11,45
8662735,-0.74,426,16,45
8662738,-1.133,387,12,45
8662749,-1.603,340,10,45
8662759,-1.133,387,12,45
8662979,-4.0,100,0,45
8662984,0.745,574,39,45
8663006,0.398,540,35,45
8663008,0.745,574,39,45
8663013,-0.454,455,19,45
8663036,0.599,560,32,45
8663194,-0.796,420,15,45
8663708,-4.0,100,7,45
8663711,-0.04,496,24,45
8663716,-0.059,494,22,45
8663730,-0.415,459,19,45
8663742,-0.575,442,18,45
8663744,-0.473,453,18,45
8663749,-0.356,464,21,45
8663750,-0.468,453,19,45
8663752,0.283,528,26,45
8663764,-1.133,387,14,45
8663768,0.231,523,27,45
8663773,-0.45,455,20,45
8663774,0.194,519,26,45
8663917,0.364,536,31,45
8664120,-0.861,414,13,45
8664268,-0.751,425,15,45
8664274,-0.092,491,23,45
8664275,-1.084,392,15,45
8664302,-1.049,395,12,45
8664309,0.202,520,25,45
8664311,-0.493,451,19,45
8664662,-0.698,430,15,45
8665412,0.43,543,31,45
8665450,0.245,525,25,45
8665479,-0.57,443,19,45
8665483,0.31,531,25,45
8665485,0.478,548,29,45
8665634,-1.091,391,14,45
8665639,-0.751,425,15,45
8665665,-1.57,343,14,45
8665669,0.701,570,36,45
8665687,-1.041,396,14,45
8666674,0.37,537,32,45
8666720,0.283,528,26,45
8666733,0.476,548,32,45
8666796,-1.574,343,10,45
8666847,-0.579,442,18,45
8666945,-0.462,454,19,45
8667338,-1.129,387,13,45
8667359,-2.079,292,12,45
8667379,-0.704,430,15,45
8667661,-1.58,342,11,45
8667751,-1.574,343,13,45
8667905,-0.57,443,18,45
8667966,-1.132,387,14,45
8667968,-0.56,444,18,45
8668084,-0.57,443,18,45
8668485,-1.328,367,11,45
8668487,-1.328,367,13,45
8668495,-0.569,443,17,45
8668498,-0.366,463,20,45
8668506,-1.604,340,9,45
8668520,0.066,507,26,45
8668587,-1.58,342,11,45
8668702,-0.982,402,13,45
8668711,-1.041,396,16,45
8669069,0.575,557,32,45
8669087,0.347,535,28,45
8669158,0.503,550,33,45
8669250,-0.979,402,15,45
8669618,-0.129,487,22,45
8669620,0.859,586,37,45
8669626,0.101,510,25,45
8669629,-4.0,100,8,45
8669660,0.966,597,39,45
8669663,0.734,573,35,45
8669667,0.65,565,34,45
8669673,-0.282,472,21,45
8670022,-0.305,470,21,45
8670181,-1.133,387,12,45
8670210,-1.045,395,16,45
8670226,0.19,519,25,45
8670319,-2.079,292,10,45
8670327,-1.27,373,12,45
8670516,-0.98,402,15,45
8670531,-0.572,443,18,45
8670567,0.43,543,27,45
8670708,0.31,531,25,45
8670742,-1.58,342,13,45
8670876,-0.851,415,14,45
8671522,-1.296,370,11,45
8671528,-0.456,454,19,45
8671591,-0.565,444,19,45
8671619,0.939,594,38,45
8671681,-1.091,391,16,45
8671683,0.161,516,25,45
8671692,-0.479,452,18,45
8671694,-1.547,345,12,45
8671710,-4.0,100,8,45
8671711,0.335,534,26,45
8671726,0.346,535,26,45
8671727,-0.753,425,16,45
8671732,-0.571,443,16,45
8671734,-0.854,415,17,45
8671735,-0.081,492,24,45
8671737,0.154,515,25,45
8671748,-4.0,100,11,45
8671752,-0.703,430,17,45
8671756,-0.86,414,14,45
8671758,-1.269,373,15,45
8671777,0.203,520,26,45
8671778,-0.561,444,18,45
8671784,-0.97,403,16,45
8671786,-1.273,373,16,45
8671796,-0.453,455,18,45
8671804,0.332,533,27,45
8671820,-1.574,343,11,45
8671844,-0.549,445,19,45
8671856,-0.079,492,23,45
8671859,-0.976,402,17,45
8672052,-1.274,373,13,45
8672076,-1.049,395,12,45
8672109,-0.473,453,18,45
8672110,-1.274,373,13,45
8672113,0.639,564,33,45
8672125,0.445,545,30,45
8672193,0.694,569,35,45
8672197,-0.691,431,16,45
8672204,-0.857,414,15,45
8672205,0.441,544,30,45
8672208,0.743,574,36,45
8672264,0.215,521,25,45
8672266,0.541,554,31,45
8672313,0.376,538,29,45
8672404,-0.857,414,14,45
8672413,-1.231,377,14,45
8672414,0.35,535,28,45
8672476,0.512,551,31,45
8672538,0.086,509,25,45
8672753,-0.564,444,18,45
8672813,0.35,535,28,45
8673296,0.562,556,35,45
8673329,-0.695,431,17,45
8673333,-0.689,431,17,45
8673343,0.579,558,34,45
8673360,0.478,548,29,45
8673373,-0.468,453,19,45
8673877,-0.177,482,21,45
8674518,-0.036,496,24,45
8674789,0.636,564,35,45
8674850,0.743,574,36,45
8674865,0.579,558,33,45
8674926,1.034,603,39,45
8675026,-0.574,443,17,45
8675201,-0.464,454,22,45
8675214,-0.288,471,22,45
8675323,-1.046,395,14,45
8675573,-0.98,402,13,45
8675669,-1.574,343,11,45
8675752,0.297,530,26,45
8675884,-0.494,451,20,45
8675941,0.811,581,38,45
8676066,-0.85,415,16,45
8676079,0.319,532,27,45
8676156,0.859,586,37,45
8676169,0.312,531,27,45
8676175,0.859,586,37,45
8676180,0.541,554,31,45
8676189,-0.166,483,25,45
8676192,-0.751,425,16,45
8676199,0.367,537,30,45
8676244,0.248,525,25,45
8676253,0.457,546,33,45
8676255,0.579,558,33,45
8676257,0.684,568,34,45
8676262,1.444,644,42,45
8676273,1.444,644,42,45
8676297,0.792,579,36,45
8676305,0.419,542,29,45
8676407,1.444,644,42,45
8676409,0.486,549,31,45
8676415,1.485,648,42,45
8676416,0.859,586,37,45
8676448,1.485,648,42,45
8676450,0.981,598,41,45
8676452,0.276,528,28,45
8676453,0.792,579,36,45
8676456,0.859,586,37,45
8676459,0.448,545,31,45
8676464,0.575,557,32,45
8676486,0.161,516,26,45
8677512,-4.0,100,4,45
8677524,-0.142,486,21,45
8677862,-1.327,367,14,45
8677880,0.745,574,39,45
8678075,0.319,532,28,45
8678396,0.43,543,27,45
8679112,1.298,630,41,45
8679263,-0.563,444,17,45
8679306,0.479,548,31,45
8679465,0.515,551,33,45
8679980,0.241,524,25,45
8680061,-0.208,479,22,45
8680549,-0.797,420,14,45
8680561,0.966,597,39,45
8680671,-1.133,387,13,45
